Year,Month,Scen,Inflow,Month-Year
2031,10,MIROC5,0.09395584,2031-10
2031,11,CanESM2,4.731276026,2031-11
2031,11,CNRM-CM5,14.26695688,2031-11
2031,11,HadGEM2-ES,1.178649228,2031-11
2031,11,MIROC5,2.914069065,2031-11
2031,12,CanESM2,0.418702749,2031-12
2031,12,CNRM-CM5,5.748622375,2031-12
2031,12,HadGEM2-ES,6.984760527,2031-12
2031,12,MIROC5,29.34637994,2031-12
2031,2,CanESM2,1.12008667,2031-2
2031,2,CNRM-CM5,3.596625331,2031-2
2031,2,HadGEM2-ES,0.531985163,2031-2
2031,2,MIROC5,2.613177993,2031-2
2031,3,CanESM2,1.88655322,2031-3
2031,3,CNRM-CM5,8.980886941,2031-3
2031,3,HadGEM2-ES,1.435280887,2031-3
2031,3,MIROC5,8.591627704,2031-3
2031,4,CanESM2,4.952130021,2031-4
2031,4,CNRM-CM5,9.818474276,2031-4
2031,4,HadGEM2-ES,2.9593787,2031-4
2031,4,MIROC5,6.100769156,2031-4
2031,5,CanESM2,8.513574816,2031-5
2031,5,CNRM-CM5,14.44723613,2031-5
2031,5,HadGEM2-ES,4.378744163,2031-5
2031,5,MIROC5,11.44560386,2031-5
2031,6,CanESM2,2.619586696,2031-6
2031,6,CNRM-CM5,3.856827326,2031-6
2031,6,HadGEM2-ES,1.829019826,2031-6
2031,6,MIROC5,3.81339519,2031-6
2031,7,CanESM2,0.318498902,2031-7
2031,7,CNRM-CM5,1.085675264,2031-7
2031,7,HadGEM2-ES,0.461444467,2031-7
2031,7,MIROC5,0.596079737,2031-7
2031,8,CanESM2,0.097879546,2031-8
2031,8,CNRM-CM5,0.230261439,2031-8
2031,8,HadGEM2-ES,0.13903802,2031-8
2031,8,MIROC5,0.084411906,2031-8
2031,9,CanESM2,0.067271425,2031-9
2031,9,CNRM-CM5,0.064004402,2031-9
2031,9,HadGEM2-ES,0.090859442,2031-9
2031,9,MIROC5,0.057866174,2031-9
2032,1,CanESM2,2.961296189,2032-1
2032,1,CNRM-CM5,7.211521304,2032-1
2032,1,HadGEM2-ES,5.78950618,2032-1
2032,1,MIROC5,9.491756762,2032-1
2032,10,CanESM2,0.388018921,2032-10
2032,10,CNRM-CM5,0.309590898,2032-10
2032,10,HadGEM2-ES,0.223379497,2032-10
2032,10,MIROC5,0.182381599,2032-10
2032,11,CanESM2,3.338437994,2032-11
2032,11,CNRM-CM5,1.667166445,2032-11
2032,11,HadGEM2-ES,0.821515817,2032-11
2032,11,MIROC5,0.509978052,2032-11
2032,12,CanESM2,2.820283319,2032-12
2032,12,CNRM-CM5,2.084903891,2032-12
2032,12,HadGEM2-ES,0.712170776,2032-12
2032,12,MIROC5,6.399282356,2032-12
2032,2,CanESM2,10.07224793,2032-2
2032,2,CNRM-CM5,7.50136386,2032-2
2032,2,HadGEM2-ES,11.81934374,2032-2
2032,2,MIROC5,8.859953046,2032-2
2032,3,CanESM2,7.323520183,2032-3
2032,3,CNRM-CM5,7.947133884,2032-3
2032,3,HadGEM2-ES,6.301992458,2032-3
2032,3,MIROC5,6.312335565,2032-3
2032,4,CanESM2,12.44525644,2032-4
2032,4,CNRM-CM5,7.567336574,2032-4
2032,4,HadGEM2-ES,5.601213293,2032-4
2032,4,MIROC5,9.204638829,2032-4
2032,5,CanESM2,14.0338798,2032-5
2032,5,CNRM-CM5,15.30443508,2032-5
2032,5,HadGEM2-ES,15.26381213,2032-5
2032,5,MIROC5,10.88214341,2032-5
2032,6,CanESM2,5.620646322,2032-6
2032,6,CNRM-CM5,15.98416755,2032-6
2032,6,HadGEM2-ES,16.15477658,2032-6
2032,6,MIROC5,11.31933171,2032-6
2032,7,CanESM2,2.5234961,2032-7
2032,7,CNRM-CM5,6.643266391,2032-7
2032,7,HadGEM2-ES,6.409657292,2032-7
2032,7,MIROC5,6.074527973,2032-7
2032,8,CanESM2,0.46321893,2032-8
2032,8,CNRM-CM5,1.921381479,2032-8
2032,8,HadGEM2-ES,1.566672632,2032-8
2032,8,MIROC5,0.693749364,2032-8
2032,9,CanESM2,0.07306356,2032-9
2032,9,CNRM-CM5,0.455727621,2032-9
2032,9,HadGEM2-ES,0.196503487,2032-9
2032,9,MIROC5,0.19299254,2032-9
2033,1,CanESM2,4.39169014,2033-1
2033,1,CNRM-CM5,0.32920126,2033-1
2033,1,HadGEM2-ES,3.99282755,2033-1
2033,1,MIROC5,9.238959785,2033-1
2033,10,CanESM2,0.111654949,2033-10
2033,10,CNRM-CM5,0.200100907,2033-10
2033,10,HadGEM2-ES,0.129912289,2033-10
2033,10,MIROC5,0.217072396,2033-10
2033,11,CanESM2,1.23479905,2033-11
2033,11,CNRM-CM5,4.79260234,2033-11
2033,11,HadGEM2-ES,0.5902629,2033-11
2033,11,MIROC5,0.14228629,2033-11
2033,12,CanESM2,0.583889108,2033-12
2033,12,CNRM-CM5,3.388471863,2033-12
2033,12,HadGEM2-ES,0.217744259,2033-12
2033,12,MIROC5,0.41764119,2033-12
2033,2,CanESM2,7.720679243,2033-2
2033,2,CNRM-CM5,19.4131521,2033-2
2033,2,HadGEM2-ES,10.2393419,2033-2
2033,2,MIROC5,2.747537408,2033-2
2033,3,CanESM2,3.370528021,2033-3
2033,3,CNRM-CM5,10.08652121,2033-3
2033,3,HadGEM2-ES,8.002651094,2033-3
2033,3,MIROC5,3.523820073,2033-3
2033,4,CanESM2,8.932576246,2033-4
2033,4,CNRM-CM5,15.63739704,2033-4
2033,4,HadGEM2-ES,5.133079158,2033-4
2033,4,MIROC5,8.905364044,2033-4
2033,5,CanESM2,15.87210094,2033-5
2033,5,CNRM-CM5,7.842244234,2033-5
2033,5,HadGEM2-ES,10.45441427,2033-5
2033,5,MIROC5,11.13339877,2033-5
2033,6,CanESM2,20.5863977,2033-6
2033,6,CNRM-CM5,3.774988242,2033-6
2033,6,HadGEM2-ES,17.84464164,2033-6
2033,6,MIROC5,20.85470559,2033-6
2033,7,CanESM2,3.407825207,2033-7
2033,7,CNRM-CM5,1.096665923,2033-7
2033,7,HadGEM2-ES,7.363887651,2033-7
2033,7,MIROC5,11.69698991,2033-7
2033,8,CanESM2,0.418753092,2033-8
2033,8,CNRM-CM5,0.312818783,2033-8
2033,8,HadGEM2-ES,0.956713477,2033-8
2033,8,MIROC5,1.940973783,2033-8
2033,9,CanESM2,0.076292904,2033-9
2033,9,CNRM-CM5,0.205864182,2033-9
2033,9,HadGEM2-ES,0.113889966,2033-9
2033,9,MIROC5,0.310586156,2033-9
2034,1,CanESM2,2.669186732,2034-1
2034,1,CNRM-CM5,6.295187343,2034-1
2034,1,HadGEM2-ES,0.139054676,2034-1
2034,1,MIROC5,2.174309389,2034-1
2034,10,CanESM2,0.221008257,2034-10
